,gender,degs_code,degc_code,levl_code,college,code,conc_code_1,grad_date,term_code_grad,major,intern_this,job01,job_ft_pt,job_hired,job_interest,job_relatemajor,plan_service,plan_same,plan_military,cc_use,cc_first,cc_use_service,cc_intern,cc_many,find,GradDate,job,job_company,job_title,job_industry,job_salary,grad,grad_degree,degree_other,study_field,schoolname,group,noschool,nojob,group01,group02,group10,noplangrad,gpa,hs_gpa,state,natn,new_total,new_math,new_verbal
83,M,UA,BS,UM,SY,BUS,BFIN,9/28/18,201806,Business & Management,Yes, ,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Slightly related,No,,No,Yes,My second year on campus,Individual Appointment,Yes,4,Job or Social Media website,Sep-18,Yes,The Armoury,Content Manager,Fashion,"$40,000 - $49,999",No, , , , ,2,1, , , , ,1,2.85620904,82.18,NJ, ,1340,600,740
84,M,UA,BA,UM,YC,BIO, ,1/31/19,201809,Biology,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Not related,Not related,No,,No,Not sure / Don't remember,, ,Yes,"A lot, multiple hospitals","Alumni Contact (made through Career Center event, program, or referral)",Jan-19,Yes,etech 7,Digital Marketing Specialist,Marketing,"Under $20,000",No, , , , ,2,1, , , , ,1,3.4634146689999996,89,MD, ,1110,560,550
85,M,UA,BS,UM,SY,ACC, ,1/31/19,201809,Accounting,Yes,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,No,,No,Yes,My first year on campus,"Walk-in Hours,On-Campus Recruiting,Career Fair",Yes,3,Career Fair,Jan-19,Yes,Deloitte,Audit assistant,Accounting,"$60,000 - $69,999",No,, , , ,2,1, , , , ,1,3.8464052680000003,91,FL, ,1300,620,680
86,M,UA,BS,UM,SY,BUS,BFIN,5/31/19,201901,Business & Management,,No,,,,,No,,No,Yes,My second year on campus,"Individual Appointment,Walk-in Hours,Workshop / Panel,YU CareerLink,Weekly Email,Career Center Website,Career Fair,Employer Site Visits,Financial Edge Course",Yes,4,,May-19,No, , , , ,Yes,Semicha, ,Jewish Studies,Aish Hatorah,3, ,1, , , , ,3.483050823,85.6,NJ, ,1160,620,540
87,M,UA,BS,UM,SY,BUS,BMAN,9/28/18,201806,Business & Management, , , , , , , ,, , , , , , , ,Sep-18,Yes,Blue Line Drywall,Estimator,Insurance,Declined to Answer,No,, , , ,2,1, , , , ,1,2.6666667459999998,85,PA, ,970,480,490
88,M,UA,BS,UM,SY,BUS,BMAN,1/31/19,201809,Business & Management, , , , , , , ,, , , , , , , , ,Yes,The Loft Rehabilitation and Nursing,Senior Bookkeeper,Accounting,Declined to Answer,No,, , , ,2,1, , , , ,1,2.368115902,82,IL, ,990,460,530
89,M,UA,BA,UM,YC,ENG, ,9/28/18,201806,English,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Not related,No,,No,Yes,My fourth year on campus,"Individual Appointment,Career Center Website,Career Fair",Yes,2,Internship or P/T job turned into F/T,Sep-18,Yes,OHEL Bais Ezra,"Respite Supervisor, Special Projects",Non-Profit,"$40,000 - $49,999",No,, , , ,2,1, , , , ,1,2.722846508,94.38,NY, ,1380,610,770
90,M,UA,BA,UM,YC,BIO, ,9/28/18,201806,Biology,,,,,,,No,,No,Not sure / Don't remember,, ,No, ,,Sep-18,No, , , , ,Yes,DDS, ,Dentistry--he is in second year,Touro College College of Dentistry,3, ,1, , , , ,3.140055895,89,CA, , , , 
91,M,UA,BA,UM,YC,PSY, ,1/31/19,201809,Psychology, , , , , , , ,, , , , , , , ,Jan-19,No, , , , ,Yes,Semicha, ,Azreali,YU,3, ,1, , , , ,3.5945017339999996,89,PA, ,1310,670,640
92,F,UA,BS,UW,SY,BUS,BMKT,1/31/19,201809,Business & Management,,No,,,,,No,,No,Yes,My fourth year on campus,Individual Appointment,No, ,,Jan-19,No, , , , ,No,, , , ,4,1,1,1, ,1,1,3.650000095,86.28,NY, ,1140,580,560
93,M,UA,BS,UM,SY,ACC, ,1/31/19,201809,Accounting,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,Yes,No,No,Yes,My first year on campus,Individual Appointment,Yes,4,Other,Jan-19,Yes,BKD LLP,Audit Associate,Accounting,"$60,000 - $69,999",No,, , , ,2,1, , , , ,1,3.724637747,92.86,NJ, ,1125,520,605
94,M,UA,BS,UM,SY,BUS,BMAN,9/28/18,201806,Business & Management,,No,,,,,No,,No,No,, ,Yes,three,,Sep-18,No, , , , ,Yes,Semicha, ,Pulpit Rabbinate,RIETS,3, ,1, , , , ,3.846153736,88.86,NY, ,1310,650,660
95,M,UA,BA,UM,YC,BIO, ,1/31/19,201809,Biology,,No,,,,,No,,No,Yes,My fourth year on campus,Individual Appointment,Yes,1,,Jan-19,No, , , , ,Yes,DDS, , , ,3, ,1, , , , ,3.917460442,96,NJ, ,1510,800,710
96,M,UA,BA,UM,YC,BIO, ,5/31/19,201901,Biology,, ,,,,,No,,No,Yes,My fourth year on campus,Individual Appointment,Yes,0,,May-19,No, , , , ,Yes,DDS, ,dentistry,stoneybrook college of dentistry,3, ,1, , , , ,3.829931974,95.08,NY, ,1450,760,690
97,M,UA,BA,UM,YC,ECO,ECOM,9/28/18,201806,Economics, , , , , , , , , , , , , , , ,Sep-18,Yes,PIMCO,Analyst,Finance,Declined to Answer,No,, , , ,2,1, , , , ,1,3.9676375389999996,99,NJ, ,1530,780,750
98,M,UA,BS,UM,SY,ACC, ,1/31/19,201809,Accounting, , , , , , , , , , , , , , , ,Jan-19,Yes,Mark and Paneth,"Associate, Tax",Tax,Declined to Answer,No,, , , ,2,1, , , , ,1,3.6956522460000003,87,CA, ,1250,640,610
99,F,UA,BS,UW,SY,ACC, ,5/31/19,201901,Accounting,,No,,,,,No,,No,Yes,My second year on campus,"Individual Appointment,Walk-in Hours,YU CareerLink,Weekly Email,Career Fair,WIBI",Yes,1,,May-19,No, , , , ,Yes,Master's, ,MBA - Hospitality,Lousiana State University at Shreveport,3, ,1, , , , ,3.152298927,90,TN, ,1240,530,710
100,F,UA,BA,UW,ST,BIO,BIOG,9/28/18,201806,Biology, , , , , , , ,, , , , , , , , , , , , , ,Yes,MS, ,Genetics,University College London,3, ,1, , , , ,3.610169411,88.67,QC,CANADA,1070,560,510
101,M,UA,BS,UM,SY,ACC, ,1/31/19,201809,Accounting,Yes, ,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,No,,No,Yes,My first year on campus,"Walk-in Hours,On-Campus Recruiting",Yes,1,Internship or P/T job turned into F/T,Jan-19,Yes,PricewaterhouseCoopers,Assurance Associate,Accounting,Declined to Answer,No, , , , ,2,1, , , , ,1,3.7702264789999997,89,IL, ,1175,600,575
102,M,UA,BS,UM,SY,BUS,BFIN,1/31/19,201809,Business & Management, , , , , , , ,, , , , , , , ,Jan-19,Yes,Duff & Phelps,Valuation Services Analyst,Finance,Declined to Answer,No,, , , ,2,1, , , , ,1,3.948717833,100.55,NJ, ,1480,780,700
103,M,UA,BS,UM,SY,BUS,BMAN,1/31/19,201809,Business & Management, , , , , , , ,, , , , , , , ,Jan-19,Yes,SAR High School,Teacher,Education,"$20,000 - $29,999",No,, , , ,2,1, , , , ,1,3.5884354110000003,86.45,NY, ,1190,540,650
104,M,UA,BS,UM,SY,ACC, ,9/28/18,201806,Accounting,No,Yes,Full-time (30+ hours/week),,Strongly related,Strongly related,No,,No,Yes,My second year on campus,"Individual Appointment,YU CareerLink,Career Fair",Yes,2,Alumni Contact (referred by family or community member),Sep-18,Yes,Marks Paneth,Tax Associate,Accounting,"$50,000 - $59,999",No,, , , ,2,1, , , , ,1,3.4184396269999997,84,FL, ,1015,500,515
105,F,UA,BA,UW,ST,BIO,BIOG,9/28/18,201806,Biology, , , , , , , , , , , , , , , ,May-19, , , , , ,Yes,BSN, , ,NYU School of Nursing,3, ,1, , , , ,3.50980401,83,QC,CANADA,940,490,450
106,M,UA,BA,UM,YC,BIO, ,9/28/18,201806,Biology,-,No,Full-time (30+ hours/week),,,,Yes,No,No,Yes,My second year on campus,Individual Appointment,Yes,5,,Summer 2019,No, , , , ,Yes,MD, ,Medicine,Touro,3, ,1, , , , ,3.352011442,84.02,NY, ,1330,740,590
107,M,UA,BS,UM,SY,BUS,BIMA,9/28/18,201806,Business & Management,No,Yes,Full-time (30+ hours/week),Employed as entrepreneur,Strongly related,Strongly related,No,,No,No,, ,Yes,3,Other,Sep-18,Yes,Barayev Commerce LLC,Amazon Marketplace Specialist,Retail,Declined to Answer,No,, , , ,2,1, , , , ,1,3.408521414,91,GA, ,1230,690,540
108,M,UA,BS,UM,SY,ACC, ,1/31/19,201809,Accounting,No, ,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,No,,No,Yes,My second year on campus,"Individual Appointment,Career Fair",Yes,3,Career Fair,Jan-19,Yes,cohn reznick,entry level accountant,Accounting,"$60,000 - $69,999",Yes,Master's, ,accounting,syms MS in accounting,1, , , , , , ,3.4266667369999997,91,IL, ,1190,600,590
109,F,UA,BA,UW,ST,SHA,SHAA,1/31/19,201809,Shaped Major,-,No,,,,,,,,Yes,My fourth year on campus, ,Yes,2,,Jan-19,No, , , , ,Yes,Other,"BSN--accelerated program with NYU, started Jan 2019",Nursing,NYU,3, ,1, , , , ,3.8490991589999997,95,CT, ,1080,420,660
110,M,UA,BS,UM,SY,ACC, ,9/28/18,201806,Accounting,Yes,Yes,Full-time (30+ hours/week),,Strongly related,Strongly related,No,,No,Yes,My second year on campus,"Walk-in Hours,YU CareerLink,Career Center Website,On-Campus Recruiting,Career Fair",Yes,1,Internship or P/T job turned into F/T,Sep-18,Yes,PwC,Tax associate,Accounting,"$80,000 and over",No,, , , ,2,1, , , , ,1,3.882352829,91.5,NY, ,1190,600,590
111,M,UA,BS,UM,SY,ACC, ,9/28/18,201806,Accounting,No, ,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,No,,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,Workshop / Panel",Yes,3,Other,Sep-18,Yes,deloitte,tax consultant,Accounting,"$70,000 - $79,999",Yes,JD, ,Law,University of Pennsylvania,1, , , , , , ,4.0,93.14,QC,CANADA,1355,780,575
112,M,UA,BS,UM,SY,BUS,BFIN,5/31/19,201901,Business & Management, , , , , , , , , , , , , , , , ,Yes,Morgan Stanley,Analyst,Finance,Declined to Answer,No, , , , ,2,1, , , , ,1,3.579579592, , , , , , 
113,F,UA,BA,UW,ST,SOC, ,1/31/19,201809,Sociology,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,No,,No,Yes,My second year on campus,"Individual Appointment,Walk-in Hours,YU CareerLink,Career Fair",Yes,2,Other,Jan-19,Yes,Orthodox Union,NCSY Summer Programs Associate,Nonprofit,"$40,000 - $49,999",No,, , , ,2,1, , , , ,1,3.7467248439999996,90.03,MA, ,1335,580,755
114,F,UA,BA,UW,ST,COM, ,5/31/19,201901,Computer Science,Yes,Yes,Full-time (30+ hours/week),Employed in some other work category,Slightly related,Not related,Yes,No,No,Yes,My second year on campus,"Individual Appointment,Workshop / Panel,YU CareerLink,Career Center Website,On-Campus Recruiting",No, ,Career Center On-Campus Recruiting (non-alumni),May-19,Yes,UBS AG,GTP Analyst,Finance Asset Management,"$70,000 - $79,999",No,, , , ,2,1, , , , ,1,3.859812975,90,CA, ,1350,700,650
115,F,UA,BA,UW,ST,PSY,PSYG,5/31/19,201901,Psychology, , , , , , , , , , , , , , , ,May-19,No, , , , ,Yes,Master's, ,Pysch,Yeshiva University,3, ,1, , , , ,3.297101498,88.5, , ,1150,560,590
116,M,UA,BS,UM,SY,ACC, ,5/31/19,201901,Accounting, , , , , , , , , , , , , , , ,May-19,Yes,RSM,Tax Associate,Accounting,Declined to Answer,No,, , , ,2,1, , , , ,1,2.982817888,95,FL, ,1320,700,620
117,F,UA,BA,UW,ST,BC, ,9/28/18,201806,Biochemistry,-, ,-,-,-,-,No,-,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,Workshop / Panel",Yes,5,, , , , , , ,Yes,MD, ,medicine,Albert Einstein College of Medicine,3, ,1, , , , ,3.9311594960000003,98,TX, ,1490,780,710
118,F,UA,BA,UW,ST,ENG,ENGL,5/31/19,201901,English, , , , , , , , , , , , , , , ,May-19,No, , , , ,Yes,Master's, , ,Cardozo,3, ,1, , , , ,3.684365749,92,MI, ,1410,640,770
119,F,UA,BA,UW,ST,BIO,BIOG,9/28/18,201806,Biology,No,Yes,Part-time (<30 hours/week),Employed in some other work category,Strongly related,Strongly related,Yes,No,No,No,-, ,Yes,2 internships,Other,Sep-18,Yes,Medical Assistant,Bootin & Savrick Pediatric Associates,Medical,"Under $20,000",Yes,Medical School, ,Medicine,TBD,1, , , , , , ,3.913419962,92,TX, ,1480,760,720
120,M,UA,BS,UM,SY,BUS,BFIN,5/31/19,201901,Business & Management,Yes,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,No,-,No,Yes,My first year on campus,"Workshop / Panel,On-Campus Recruiting,Financial Edge Course",Yes,3,Internship or P/T job turned into F/T,May-19,Yes,Goldman Sachs,Investment banking analyst,Finance,"$80,000 and over",No,, , , ,2,1, , , , ,1,3.8342540260000004,94.12,NY, ,1480,720,760
121,F,UA,BA,UW,ST,PSY,PSYG,9/28/18,201806,Psychology,No, ,Full-time (30+ hours/week),Employed in some other work category,Slightly related,Slightly related,No,-,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,Workshop / Panel",Yes,2,Alumni Contact (referred by family or community member),Sep-18,Yes,"mount sinai hospital, neurosurgery research","CRC, Clinical research coordinator",Medical Research,"$50,000 - $59,999",No, , , , ,2,1, , , , ,1,3.981735229,95.06,MA, ,1470,760,710
122,M,UA,BA,UM,YC,BIO, ,5/31/19,201901,Biology,-,No,-,-,-,-,No,-,No,No,-, ,No, ,,May-19,No, , , , ,Yes,Semicha, ,Torah studies,RIETS,3, ,1, , , , ,3.7289376260000004,98.08,NY, ,1460,750,710
123,M,UA,BA,UM,YC,BIO, ,1/31/19,201809,Biology,-,No,-,-,-,-,No,-,No,No,-, ,Yes,3,,Jan-19,No, , , , ,Yes,MD, ,Medicine/Biology,Downstate Medical School,3, ,1, , , , ,3.835341454,92.14,NY, ,1480,760,720
124,M,UA,BA,UM,YC,MAT,MATC,9/28/18,201806,Mathematics,-,Yes,Full-time (30+ hours/week),-,-,-,-,-,-,-,-, ,-, ,,Sep-18,Yes,Merrill Lynch,Financial Advisor,Finance,Declined to Answer,Yes,Master's, ,Computer Science with Statistics,University of Illinois at Urbana Champaign,1, , , , , , ,3.357815504,90.73,NJ, ,1450,800,650
125,M,UA,BS,UM,SY,BUS,BIMA,5/31/19,201901,Business & Management,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,No,-,No,Yes,My second year on campus,Individual Appointment,Yes,5-Apr,Job or Social Media website,May-19,Yes,LinkedIn,business leadership program associate,Marketing,"$80,000 and over",No,, , , ,2,1, , , , ,1,3.916666746,89,FL, ,1220,690,530
126,F,UA,BA,UW,ST,BIO,BIOG,5/31/19,201901,Biology,No,Yes,Full-time (30+ hours/week),-,Strongly related,Not related,Yes,No,-,Yes,My fourth year on campus,"Individual Appointment,YU CareerLink,Career Center Website",Yes,three,Other,May-19,Yes,SAR,Head Teacher in Pre-school,Education,"$50,000 - $59,999",No,, , , ,2,1, , , , ,1,3.7605178360000004,92.63,NJ, ,1450,690,760
127,M,UA,BS,UM,SY,BUS,BIMA,5/31/19,201901,Business & Management,-,No,-,-,-,-,No,-,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,Workshop / Panel,YU CareerLink,On-Campus Recruiting,Career Fair",Yes,2,-,May-19,No, , , , ,Yes,Semicha, ,Rabbinics,Rabbi Isaac Elchanan Theological Seminary,3, ,1, , , , ,3.861252069,94.66,NJ, ,1470,800,670
128,M,UA,BS,UM,SY,BUS,BFIN,1/31/19,201809,Business & Management,No, ,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Slightly related,No,-,No,Yes,My second year on campus,"Individual Appointment,Workshop / Panel",Yes,3,Other,Jan-19,Yes,liquid capital,senior analyst,Real Estate,"$60,000 - $69,999",No, , , , ,2,1, , , , ,1,3.6649746889999997,91.43,NJ, ,1480,760,720
129,M,UA,BS,UM,SY,BUS,BFIN,5/31/19,201901,Business & Management,-,No,Part-time (<30 hours/week),-,-,-,Yes,No,No,Yes,My second year on campus,"Individual Appointment,Walk-in Hours,On-Campus Recruiting,Financial Edge Course",Yes,2,-,May-19,Not Seeking, , , , ,No,-, , , ,5,1,1,1,1, ,1,3.564853668,95.66,NY, ,1520,720,800
130,F,UA,BA,UW,ST,BIO,BIOG,5/31/19,201901,Biology, , , , , , , , , , , , , , , ,May-19,No, , , , ,Yes,PhD, ,Biomedical Sciences,Einstein,3, ,1, , , , ,3.850111961,90.32,NJ, ,1460,710,750
131,F,UA,BA,UW,ST,BIO,BIOG,1/31/19,201809,Biology, , , , , , , , , , , , , , , ,Jan-19, , , , , ,Yes,MD, , ,AECOM,3, ,1, , , , ,4.0,98.42,NJ, ,1470,700,770
132,M,UA,BA,UM,YC,MAT,MATG,5/31/19,201901,Mathematics,-,No,-,-,-,-,No,-,No,Not sure / Don't remember,-, ,Yes,1,-,May-19,No, , , , ,Yes,Semicha, ,Semicha,YU,3, ,1, , , , ,3.71631217,95.31,NY, ,1600,800,800
133,F,UA,BA,UW,ST,BIO,BION,1/31/19,201809,Biology, , , , , , , , , , , , , , , , ,Yes,Montefiore Medical Center,Study Coordinator,Medical Research,Declined to Answer,No, , , , ,2,1, , , , ,1,3.654421806,93,NY, ,1480,760,720
134,F,UA,BA,UW,ST,PSY,PSYG,9/28/18,201806,Psychology, , , , , , , , , , , , , , , ,Sep-18,No, , , , ,Yes,Master's, ,Psy D,LIU Post,3, ,1, , , , ,3.820512772,97,FL, ,1420,680,740
135,F,UA,BA,UW,ST,BIO,BIOG,9/28/18,201806,Biology,No,Yes,Part-time (<30 hours/week),Employed in some other work category,Strongly related,Strongly related,No,-,No,Yes,My third year on campus,Walk-in Hours,Yes,1,Other,Sep-18,Yes,Fordham University,Teachers Assistant/Lab tech,Research,"$20,000 - $29,999",Yes,Master's, ,Biology,Fordham University,1, , , , , , ,3.777777672,94,IL, ,1395,640,755
136,M,UA,BA,UM,YC,PSY, ,5/31/19,201901,Psychology, , , , , , , , , , , , , , , , ,Yes,Alera Group,Junior Marketing Communication Associate,Marketing and Advertising,Declined to Answer,No, , , , ,2,1, , , , ,1,3.94623661,99,WI, ,1240,560,680
137,M,UA,BA,UM,YC,BIO, ,1/31/19,201809,Biology,-,No,-,-,-,-,Yes,No,No,Yes,My third year on campus,Individual Appointment,No, ,-,Jan-19,No, , , , ,Yes,MD, ,Medicine,unknown,3, ,1, , , , ,3.936363697,94.96,NJ, ,1500,790,710
138,F,UA,BA,UW,ST,ENG,ENGC,1/31/19,201809,English, , , , , , , , , , , , , , , ,Jan-19,No, , , , ,Yes,PhD, ,Jewish Studies,Bernard Revel,3, ,1, , , , ,3.983050823,99.11,NY, ,1540,750,790
139,F,UA,BA,UW,ST,MAT, ,9/28/18,201806,Mathematics, , , , , , , , , , , , , , , , ,Yes,SAR Academy,teacher,Accounting,"$60,000 - $69,999",No, , , , ,2,1, , , , ,1,3.88200593,96.04,NJ, ,1530,790,740
140,M,UA,BS,UM,SY,BUS,BFIN,5/31/19,201901,Business & Management,Yes,Yes,Full-time (30+ hours/week),Employed in temp/contract assignment,Strongly related,Strongly related,No,-,No,Yes,My first year on campus,"On-Campus Recruiting,Financial Edge Course",No, ,Internship or P/T job turned into F/T,May-19,Yes,Goldman Sachs,Investment Banking Analyst,Finance,"$80,000 and over",No,-, , , ,2,1, , , , ,1,3.7068061830000003,94,CA, ,1370,670,700
141,F,UA,BA,UW,ST,JST,JSTG,5/31/19,201901,Jewish Studies, , , , , , , , , , , , , , , , , , , , , ,Yes,MA, , ,Bernard Revel Graduate School,3, ,1, , , , ,3.78730154,94.22,NY, ,1580,780,800
142,F,UA,BA,UW,ST,BIO,BIOG,9/28/18,201806,Biology,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,No,-,No,Yes,My second year on campus,"Individual Appointment,Walk-in Hours,Workshop / Panel,Career Fair",No, ,Other,Sep-18,Yes,Columbia University,Clinical Research Aide,Research,"$30,000 - $39,999",No,-, , , ,2,1, , , , ,1,3.9379844669999997,95,CA, ,1410,700,710
143,M,UA,BS,UM,SY,ACC, ,5/31/19,201901,Accounting, , , , , , , , , , , , , , , , ,Yes,CohnReznick LLP,Audit Associate,Accounting,Declined to Answer,No, , , , ,2,1, , , , ,1,3.796666622,87.7,NY, ,1270,630,640
144,M,UA,BS,UM,SY,ACC, ,1/31/19,201809,Accounting,Yes,Yes,Full-time (30+ hours/week),-,Strongly related,Moderately related,No,-,No,Not sure / Don't remember,-, ,No, ,Internship or P/T job turned into F/T,Jan-19,Yes,Citi,Investment banking analyst,Finance,"$80,000 and over",No,-, , , ,2,1, , , , ,1,3.9800000189999998,92.95,NY, ,1305,700,605
145,M,UA,BA,UM,YC,BIO, ,1/31/19,201809,Biology,No,Yes,Part-time (<30 hours/week),Employed in temp/contract assignment,Slightly related,Slightly related,Yes,No,No,Yes,My second year on campus,Walk-in Hours,Yes,2,Other,Jan-19,Yes,Breurs high school,Teacher,Education,"$20,000 - $29,999",No,-, , , ,2,1, , , , ,1,3.940593958, ,CA, ,1430,710,720
146,F,UA,BA,UW,ST,BIO,BIOG,1/31/19,201809,Biology, , , , , , , , , , , , , , , ,May-19,Yes,Allmedx,Junior Developer,Information Systems,Declined to Answer,No, , , , ,2,1, , , , ,1,3.626398325,94,CA, ,1310,650,660
147,F,UA,BA,UW,ST,PSY,PSYG,1/31/19,201809,Psychology, , , , , , , , , , , , , , , ,Jan-19,Yes,Roth & Company,Training & Development Coordinator,Human Resources,Declined to Answer,Yes,Master's, ,Marriage & Family Therapy,Northcentral University,1, , , , , , ,3.319149017, ,NY, ,1060,500,560
148,F,UA,BS,UW,SY,BUS,BFIN,1/31/19,201809,Business & Management, , , , , , , , , , , , , , , , ,Yes,Media Assembly,Assistant Media Planner,Marketing,Declined to Answer,No, , , , ,2,1, , , , ,1,3.54954958,93,OH, ,1150,560,590
149,M,UA,BS,UM,SY,BUS,BFIN,5/31/19,201901,Business & Management,No,Yes,Full-time (30+ hours/week),Employed as entrepreneur,Strongly related,Strongly related,No,-,No,No,-, ,Yes,1,Alumni Contact (referred by family or community member),May-19,Yes,Merrill Lynch,Financial Advisor,Finance,"$60,000 - $69,999",No,-, , , ,2,1, , , , ,1,3.5848484039999997,87.15,NJ, ,1310,740,570
150,F,UA,BA,UW,ST,BIO,BIOG,1/31/19,201809,Biology,-,No,-,-,-,-,No,-,No,Yes,My third year on campus,Individual Appointment,No, ,-, , , , , , ,Yes,Master's, ,Medicine,Touro,3, ,1, , , , ,3.7698814869999997,93.57,NJ, ,1390,680,710
151,M,UA,BS,UM,SY,BUS,BMKT,9/28/18,201806,Business & Management,No,Yes,Full-time (30+ hours/week),-,Strongly related,Strongly related,No,-,No,Yes,My first year on campus,YU CareerLink,Yes,4,Job or Social Media website,Sep-18,Yes,Havas Media,"Buyer, Digital Investment",Digital Advertising,"$70,000 - $79,999",No,-, , , ,2,1, , , , ,1,3.387096882,81,IL, ,935,420,515
152,M,UA,BA,UM,YC,POL,IASS,1/31/19,201809,Political Science, , , , , , , , , , , , , , , ,Jan-19,Yes,Bank Leumi,Client Service Officer,Finance,"$60,000 - $69,999",No,-, , , ,2,1, , , , ,1,3.56396389,88,NY, ,1190,560,630
153,M,UA,BA,UM,YC,BIO, ,1/31/19,201809,Biology,-,No,-,-,-,-,No,-,No,Yes,My second year on campus,"Walk-in Hours,YU CareerLink",No, ,-,Jan-19,No, , , , ,Yes,MD, ,Medicine,unknown,3, ,1, , , , ,3.724489689,94,NJ, ,1260,530,730
154,M,UA,BS,UM,SY,ACC, ,1/31/19,201809,Accounting,Yes,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,No,-,No,Yes,My second year on campus,"YU CareerLink,Career Fair",Yes,1,YU Career Link,Jan-19,Yes,ernst and young,Staff 1,Accounting,"$30,000 - $39,999",No,-, , , ,2,1, , , , ,1,3.5742573739999997,89.17,NJ, ,1180,620,560
155,M,UA,BS,UM,SY,BUS,BIMA,5/31/19,201901,Business & Management,No, ,Full-time (30+ hours/week),Employed freelance,Not related,Not related,No,-,No,Yes,My first year on campus,"Individual Appointment,YU CareerLink,Career Center Website",Yes,2,YU Career Link,May-19,Yes,Harborview Capital Partners,Analyst,Finance,"$40,000 - $49,999",No, , , , ,2,1, , , , ,1,3.6201117039999997,93,IL, ,1235,600,635
156,M,UA,BA,UM,YC,PSY, ,5/31/19,201901,Psychology,-, ,-,-,-,-,No,-,No,No,-, ,No, ,-,May-19,No, , , , ,Yes,Master's, ,Social work,Wurzweiler,3, ,1, , , , ,3.302083254,87.59,NJ, ,1160,600,560
157,M,UA,BS,UM,SY,ACC, ,1/31/19,201809,Accounting, , , , , , , , , , , , , , , , ,Yes,KPMG US,Audit Associate,Tax,Declined to Answer,No, , , , ,2,1, , , , ,1,3.195035458,87.35,NY, ,1380,720,660
158,F,UA,BA,UW,ST,MAT, ,5/31/19,201901,Mathematics, , , , , , , , , , , , , , , ,May-19,Yes,healthfirst,actuarial analyst,Finance,Declined to Answer,No, , , , ,2,1, , , , ,1,3.8932461739999997,82.28,QC,CANADA,1110,560,550
159,F,UA,BA,UW,ST,JST,JSTG,9/28/18,201806,Jewish Studies, , , , , , , , , , , , , , , , , , , , , ,Yes,Master's, ,OT,Columbia University,3, ,1, , , , ,3.6701388360000005,88.41,NJ, ,1120,560,560
160,M,UA,BS,UM,SY,BUS,BMAN,5/31/19,201901,Business & Management,Yes,No,Full-time (30+ hours/week),Employed in some other work category,Slightly related,Slightly related,No,-,No,Yes,My first year on campus,"Individual Appointment,YU CareerLink",Yes,3,Other,May-19,Yes,Farmers Pantry,Assistant Brand Manager,Marketing,"$40,000 - $49,999",No,-, , , ,2,1, , , , ,1,3.4700853819999997,91.59,NJ, ,1010,510,500
161,M,UA,BS,UM,SY,ACC, ,5/31/19,201901,Accounting,-, ,-,-,-,-,No,-,No,No,-, ,No, ,-,May-19,No, , , , ,Yes,Semicha, ,Jewish Studies,YU,3, ,1, , , , ,3.409090996,78.98,NY, ,1130,580,550
162,M,UA,BS,UM,SY,ACC, ,5/31/19,201901,Accounting, , , , , , , , , , , , , , , ,May-19,Yes,EY,Audit Staff 1,Accounting,Declined to Answer,No,-, , , ,2,1, , , , ,1,3.1580755710000004,83.33,MA, ,1015,500,515
163,M,UA,BS,UM,SY,BUS,BMKT,1/31/19,201809,Business & Management, , , , , , , , , , , , , , , , ,Yes,Symphony Post Acute Network,Administrator in Training,Unknown,Declined to Answer,No, , , , ,2,1, , , , ,1,3.284789562,87,IL, ,1115,540,575
164,M,UA,BS,UM,SY,BUS,BMKT,1/31/19,201809,Business & Management,No, ,Full-time (30+ hours/week),Employed in post-grad internship/fellowship,Strongly related,Strongly related,No,-,No,Yes,My third year on campus,"Individual Appointment,Workshop / Panel,YU CareerLink",Yes,3,Job or Social Media website,Jan-19,Yes,Centro,Intern,Marketing,"Under $20,000",No,-, , , ,2,1, , , , ,1,3.049504995,89,CA, ,1190,510,680
165,F,UA,BA,UW,ST,BIO,BIOG,9/28/18,201806,Biology, , , , , , , , , , , , , , , ,Sep-18,Yes,"St. Francis Hospital, The Heart Center",Medical Assistant,Research,"$30,000 - $39,999",Yes,DDS, ,Dentistry, ,1, , , , , , ,3.412698507,88.59,NY, ,1150,560,590
